Station,Month,Parameter,From,To,Date,Concentration
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-11,70.92
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-11,75.26
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-11,72.63
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-11,67.15
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-11,67.03
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-11,74.2
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-11,105.24
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-11,82.94
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-11,103.38
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-11,93.24
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-11,95.88
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-11,104.65
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-11,96.27
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-11,96.82
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-11,102.43
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-11,101.88
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-11,99.58
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-11,90.5
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-11,91.67
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-11,103.58
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-11,99.28
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-12,85.77
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-12,73.67
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-12,49.4
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-12,46.63
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-12,56.6
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-12,54.72
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-12,51.55
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-12,64.56
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-12,65.62
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-12,86.32
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-12,97.18
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-12,110.93
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-12,96.28
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-12,69.53
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-12,70.58
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-12,67.78
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-12,70.87
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-12,94.17
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-12,89.83
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-12,88.02
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-12,85.42
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-12,111.18
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-12,134.55
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-12,109.49
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-13,101.7
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-13,81.56
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-13,80.78
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-13,74.94
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-13,83.78
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-13,80.67
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-13,69.26
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-13,74.63
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-13,96.14
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-13,107.3
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-13,102.74
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-13,103.96
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-13,100.06
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-13,119.13
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-13,114.79
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-13,109.37
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-13,93.59
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-13,100.68
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-13,120.29
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-13,130.54
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-13,151.07
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-13,141.33
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-13,138.93
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-13,118.81
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-14,101.85
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-14,83.39
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-14,94.97
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-14,85.63
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-14,69.42
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-14,79.36
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-14,105.57
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-14,101.78
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-14,107.13
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-14,92.55
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-14,94.8
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-22,85.58
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-22,79.2
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-22,73.3
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-22,93.88
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-22,116.45
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-22,139.82
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-22,157.64
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-22,148.04
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-22,143.11
